1,PrIjEm,prace,2147483646,06.10.2018
abc,VYDAJ,jidlo,999000989,01:02:2018
3,,ZaBaVa,200,03-04-2018
,vydaj,   internet,,6-

5,,,650,7.1-201
6,prijem,mzda,22000,29.12-2018

7,vydaj,bydleni,7.000,29:2-2005
8,vydaj,bydleni,-7000,29:2-2004
9,prijem,prodej,15253
10,prijem,prodej,15253,2
111,vdj,koupe,10.5,36.1.2019
112,vydaj,koupe,100a,22.13.2020
113,vydaj,koupe,999999999.49,000.00.2020
114,vydaj,koupe nemovitosti ve Vietnamu,150.22,.00.2020
vydaj,koupe,50.2
a,vydaj,koupe,50.2,
115,vydaj,koupe,c100,22.13.2020
